protein_per_100g,sugar_per_100g,fat_per_100g,fiber_per_100g,calories_per_100g,sodium_per_100g,has_artificial_sweetener,has_preservatives,has_trans_fat,ingredient_risk_count,category,health_score,risk_labels
0.1,13.9,0.0,0.0,59.9,289.2,0,1,0,2,ENERGY_DRINKS,24,"PRESERVATIVES,LOW_FIBER"
9.6,2.2,12.3,7.7,380.0,448.1,0,0,0,1,SNACKS,82,NONE
0.0,1.6,0.2,0.0,24.5,27.1,0,0,0,0,BEVERAGES,70,LOW_FIBER
6.9,19.7,21.0,3.0,452.5,253.3,1,1,0,2,BISCUITS_COOKIES,21,"HIGH_FAT,ARTIFICIAL_SWEETENER,PRESERVATIVES,HIGH_CALORIE"
4.2,40.2,31.1,2.7,488.7,89.1,0,1,0,2,CHOCOLATES_CONFECTIONERY,36,"HIGH_SUGAR,HIGH_FAT,PRESERVATIVES,HIGH_CALORIE"
1.1,0.1,0.4,0.4,12.9,93.0,0,0,0,0,BEVERAGES,75,LOW_FIBER
5.1,13.8,9.2,0.7,122.4,296.7,1,1,0,0,DAIRY_PRODUCTS,52,"ARTIFICIAL_SWEETENER,PRESERVATIVES,LOW_FIBER"
5.7,2.1,14.5,2.2,390.5,704.2,0,1,0,3,INSTANT_NOODLES_RTE,58,"PRESERVATIVES,MANY_RISKY_INGREDIENTS"
4.0,63.3,38.5,0.9,525.7,105.6,1,1,0,3,CHOCOLATES_CONFECTIONERY,6,"HIGH_SUGAR,HIGH_FAT,ARTIFICIAL_SWEETENER,PRESERVATIVES,LOW_FIBER,HIGH_CALORIE,MANY_RISKY_INGREDIENTS"
41.5,11.8,10.9,3.9,366.5,276.8,0,1,0,1,HEALTH_SUPPLEMENTS,64,PRESERVATIVES
1.4,19.0,12.8,0.6,263.5,555.7,1,1,0,1,SAUCES_SPREADS,33,"ARTIFICIAL_SWEETENER,PRESERVATIVES,LOW_FIBER"
3.8,11.9,33.4,1.2,523.7,752.7,0,1,0,4,SNACKS,19,"HIGH_FAT,PRESERVATIVES,LOW_FIBER,HIGH_CALORIE,MANY_RISKY_INGREDIENTS"
63.1,2.4,7.4,3.6,351.8,100.1,0,0,0,0,HEALTH_SUPPLEMENTS,93,NONE
5.7,4.1,14.9,3.1,388.9,773.2,0,0,0,1,INSTANT_NOODLES_RTE,71,NONE
23.7,6.2,10.0,6.5,379.8,180.0,0,1,0,1,PROTEIN_BAR,78,PRESERVATIVES
